Strategy,Region,Fund_Name,ASX_Code,Mgmt_Fee,Benchmark,Details
Broad,Global,Betashares Diversified Conservative Income,DZZF.AX,0.39%,N/A,An ethical fund seeking 90% growth assets (Australian and international shares) and 10% defensive assets (Australian and international bonds).
Broad,Global,Betashares Diversified Growth,DGGF.AX,0.39%,N/A,An ethical fund seeking 70% growth assets (Australian and international shares) and 50% defensive assets (Australian and international bonds).
Broad,Global,Betashares Diversified High Growth,DHHF.AX,0.19%,N/A,"The ETF has a 100% allocation to shares, and is invested in a blend of large, mid and small cap equities from Australia, global developed and emerging markets."
Broad,Global,BetaShares Ethical Diversified Balanced,DBBF.AX,0.39%,N/A,An ethical fund seeking 50% defensive assets (Australian and international bonds) and 50% growth assets (Australian and international shares).
Broad,Global,BetaShares Global Quality Leaders,QLTY.AX,0.35%,iSTOXX MUTB Global ex-Australia Quality Leaders.,"Access to the 150 global companies (ex-Australia) based on a combined ranking of four key factors – ROE, debt-to-capital, CF generation ability and earnings stability."
Broad,Global,Betashares Global Quality Leaders,HQLT.AX,0.38%,iSTOXX MUTB Global Ex-Australia Quality Leaders Index AUD Hedged,"Comprises 150 global companies (ex-Australia) ranked by highest quality score, hedged into Australian dollars."
Broad,Global,BetaShares Global Shares ETF,BGBL.AX,0.08%,Solactive GBS Developed Markets ex Australia Large & Mid Cap Index,"BGBL aims to track the performance of an index (before fees and expenses) that provides exposure to an index comprising approximately 1,500 developed markets companies (ex-Australia)."
Broad,Global,BetaShares Global Shares ETF - Currency Hedged,HGBL.AX,0.11%,Solactive GBS Developed Markets ex Australia Large & Mid Cap Index (AUD Hedged),"HGBL aims to track the performance of an index (before fees and expenses) comprising approximately 1,500 developed markets companies (ex-Australia), hedged into Australian dollars."
Broad,Global,BetaShares Global Uranium ETF,URNM.AX,0.69%,Indxx North Shore Uranium Mining Index,Aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of leading companies in the global uranium industry.
Broad,Global,BetaShares Managed Risk Global Share Fund,WRLD.AX,0.54%,N/A,A broadly diversified portfolio of global shares.
Broad,Global,Betashares WealthBuilder All Gr Geared Complex ETF,GHHF.AX,0.35%,N/A,Build long-term wealth by providing a cost-effective way to benefit from moderately geared exposure to a diversified portfolio of Australian and global equities
Broad,Global,Daintree Hybrid Opportunities Fund (Managed Fund),DHOF.AX,0.75%,RBA Cash Rate,A well-diversified portfolio of carefully selected Australian and global hybrid securities with an expected average credit quality rating of BBB- or better.
Broad,Global,Fat Prophets Global High Conviction Hedge Fund,FATP.AX,1.75%,n/a,"The Fund’s philosophy reflects Fat Prophets’ objective to build wealth by investing in undervalued stocks, sectors, and markets. The Fund also seeks to capitalise on opportunities with disruptive companies that are changing the way business is done globally."
Broad,Global,Fidelity Global Demographics Fund (MF),FDEM.AX,0.89%,MSCI All Country World Index NR,A diversified portfolio of typically 50 to 70 companies globally where demographic factors are likely to be the most important driver of companies earnings over the medium-to-long term.
Broad,Global,Fidelity Global Future Leaders Active ETF,FCAP.AX,1.10%,MSCI World Mid Cap Index NR,Provides investors with the potential for long-term capital growth by investing in a portfolio of listed mid and small-cap global shares.
Broad,Global,Firetrail S3 Global Opportunities Fund (Managed Fund),S3GO.AX,0.72%,MSCI World Net Total Return Index (AUD),The Firetrail S3 Global Opportunities Fund (Managed Fund) is a concentrated portfolio of Firetrail’s best global equity ideas. The investment process employs fundamental analysis to identify the most attractive investment opportunities with sustainable characteristics. The Fund aims to outperform the MSCI World Net Total Return Index (AUD) over the long term after fees.
Broad,Global,Franklin Global Growth (Managed Fund),FRGG.AX,0.90%,MSCI World ex Australia Index,Invests in a diversified portfolio of globally listed companies (ex-Australia) with a focus on high quality growth companies chosen on the basis of fundamental bottom-up research.
Broad,Global,Hejaz Equities Fund (Managed Fund),ISLM.AX,1.89%,MSCI World Islamic Index (hedged into AUD),Screens global equities markets and selects only Islamically compliant companies to invest in.
Broad,Global,Hyperion Global Growth Companies Fund,HYGG.AX,0.70%,MSCI World Accumulation,"Achieve medium to long-term capital growth and income by investing in high calibre companies primarily listed on a recognised global exchange, at the time of investment."
Broad,Global,Intelligent Investor Select Value Share Fund (Managed Fund),IISV.AX,0.97%,S&P/ASX 200 Accumulation Index,A portfolio of international and Australian shares which is geographically unconstrained allowing then Fund to hold industry leaders regardless of where they're listed.
Broad,Global,iShares Balanced ESG ETF,IBAL.AX,0.22%,n/a,"Aims to provide investors with the performance of the various indices of the Underlying Funds in which the Fund invests, in proportion to a ‘Balanced’ long term Strategic Asset Allocation (SAA), before fees and expenses, of approximately 50% equities and 50% fixed income exposure."
Broad,Global,iShares Core MSCI World All Cap,IWLD.AX,0.09%,MSCI World Investible Market,"Covers large, mid and small-capitalisation stocks across developed markets which comply with MSCI's size, liquidity, and free-float criteria."
Broad,Global,iShares Core MSCI World All Cap (AUD Hedged),IHWL.AX,0.12%,MSCI World Investable Market,"Exposure to large, mid and small-capitalisation stocks across developed market countries, hedged to the Australian Dollar."
Broad,Global,iShares Edge MSCI World Minimum Volatility,WVOL.AX,0.30%,MSCI World Minimum Volatility (AUD),Track a subset of MSCI World (AUD) using a minimum volatility strategy.
Broad,Global,iShares Edge MSCI World Multifactor,WDMF.AX,0.35%,MSCI World Diversified Multiple-Factor (AUD),"Exposure to large, mid and small-capitalisation stocks from 23 developed markets around the world."
Broad,Global,iShares Global 100,IOO.AX,0.40%,S&P Global 100,Tracks 100 large capitalisation global equities.
Broad,Global,iShares Global 100 AUD Hedged,IHOO.AX,0.43%,S&P Global 100,Tracks 100 large capitalisation global equities (hedged to Australian dollars).
Broad,Global,iShares High Growth ESG ETF,IGRO.AX,0.22%,n/a,"Aims to provide investors with the performance of the various indices of the Underlying Funds in which the Fund invests, in proportion to a ‘‘High Growth’ long term Strategic Asset Allocation (SAA), before fees and expenses, of approximately 90% equities and 10% fixed income exposure."
Broad,Global,iShares MSCI EAFE,IVE.AX,0.32%,MSCI EAFE Index,"Tracks stocks from Europe, Australasia and the Far East and may include large or mid-capitalisation companies"
Broad,Global,Janus Henderson Global Sustainable Equity Active ETF,FUTR.AX,0.80%,MSCI World Index (net dividends reinvested) in AUD,"Focuses on companies that have a positive impact on the environment and society, the low-carbon investment approach aims to deliver compounding growth and attractive investment returns."
Broad,Global,JPMorgan Climate Change Solutions Active ETF (Managed Fund),T3MP.AX,0.55%,MSCI All Country World Index (Total Return Net) - AUD,"Aims to invest in a high conviction, unconstrained portfolio of companies leading the way in delivering climate change solutions."
Broad,Global,JPMorgan Global Equity Premium Income Complex,JEGA.AX,0.40%,MSCI World Index (Total Return Net),To provide income and long-term capital growth.
Broad,Global,JPMorgan Global Equity Premium Income (Hedged) Complex ETF,JHGA.AX,0.40%,MSCI World Index (Total Return Net),To provide income and long-term capital growth.
Broad,Global,JPMorgan Global Research Enhanced Index Equity Active ETF (Hedged),JRHG.AX,0.30%,MSCI World ex Australia Index,Achieve a long-term return in excess of the benchmark.
Broad,Global,JP Morgan Global Research Enhanced Index Equity Active ETF (Managed Fund),JREG.AX,0.30%,MSCI World ex Australia Index (Total Return Net),To achieve a long-term return in excess of the benchmark; the risk characteristics of the portfolio of securities held by the Fund will resemble the risk characteristics of the portfolio of securities held in the benchmark.
Broad,Global,JPMorgan Global Select Equity Active ETF,JGLO.AX,0.55%,MSCI World Index (Net Total Return),Aims to provide long-term capital appreciation from a global equity portfolio.
Broad,Global,JPMorgan Global Select Equity (Hedged) Active ETF,JHLO.AX,0.55%,MSCI World Index (Net Total Return) hedged to AUD,To provide long-term capital appreciation.
Broad,Global,L1 Capital International Fund (Managed Fund),L1IF.AX,1.24%,MSCI World Net Total Return Index in AUD,Aims to outperform the benchmark over rolling 5 year periods.
Broad,Global,Lanyon Investment Fund,LNYN.AX,1.10%,S&P/ASX 300 Accumulation Index and MSCI All Country World Index,Portfolio consisting of securities of entities listed on domestic and foreign exchanges.
Broad,Global,Loftus Peak Global Disruption Fund (MF),LPGD.AX,1.20%,MSCI All Countries World,Focus on investing in global listed disruptive businesses.
Broad,Global,Loomis Sayles Global Equity Fund,LSGE.AX,0.99%,MSCI All Country World Index,Seeks to provide a concentrated portfolio of best ideas in global equities.
Broad,Global,Macquarie Core Global Equity Active ETF,MQEG.AX,0.08%,MSCI World ex-Australia ex-Tobacco Net Dividends Reinvested Index,"Provides exposure to a diversified portfolio of Global equities through securities listed, or expected to be listed, on global developed market exchanges."
Broad,Global,Macquarie Walter Scott Global Equities Active ETF (Managed Fund),MQWS.AX,1.28%,MSCI World ex Australia Index,Aims to achieve a long-term total return that exceeds the MSCI World ex Australia Index.
Broad,Global,Magellan Global Equities Fund (Currency Hedged) MF,MHG.AX,1.35%,MSCI World Net Total Return Index (hedged to AUD),Seeks risk-adjusted investment returns over the medium to long-term from Global equities.
Broad,Global,Magellan Global Fund (Open Class) (MF),MGOC.AX,1.35%,MSCI World Net Total Return Index (AUD),A core holding investing in 20 to 40 of global stocks.
Broad,Global,Magellan High Conviction,MHHT.AX,1.50%,N/A,"Seeks to invest in outstanding companies at attractive prices, while exercising a deep understanding of the macroeconomic environment to manage investment risk."
Broad,Global,Milford Australian Absolute Growth Fund,MFOA.AX,0.90%,RBA Cash Rate + 5% pa,"Aims to generate investment returns 5% higher than the RBA cash rate by investing in a diversified portfolio of predominantly Australian equities, complemented by selective exposure to international equities and cash."
Broad,Global,Montaka Global Extension Fund (MF),MKAX.AX,1.25%,N/A,The fund seeks to hold 15 to 30 long positions and partially offsets these with 10 to 40 short positions in global companies.
Broad,Global,Montgomery Global Equities Fund (MF),MOGL.AX,1.32%,MSCI World Net Total Return Index,Invests in a global portfolio of 15 to 30 companies and aims to outperform the MSCI World Net Total Return Index.
Broad,Global,Munro Global Growth Fund (Hedge Fund),MAET.AX,1.35%,N/A,Absolute returns through global growth equities over the medium to long term.
Broad,Global,Nanuk New World Fund (Managed Fund),NNUK.AX,1.10%,N/A,"Provide investment returns which exceed conventional global equity indices, after management fees, over the long term."
Broad,Global,Nasdaq 100 Covered Call ETF,QYLD.AX,0.60%,US NASDAQ,"The Global X Nasdaq 100 Covered Call ETF (QYLD) follows a “covered call” or “buy-write” strategy, in which the fund buys the stocks in the Nasdaq 100 Index and “writes” or “sells” corresponding call options on the same index to generate income over and above dividends."
Broad,Global,Nasdaq 100 Equal Weight ETF,QNDQ.AX,0.48%,Nasdaq-100 Equal Weighted Index,"Provides exposure to 100 of the largest non-financial companies listed on the Nasdaq market, with each holding weighted equally."
Broad,Global,Nasdaq Next Gen 100 ETF,JNDQ.AX,0.48%,Nasdaq Next Generation 100 Index,Exposure to the 100 largest Nasdaq-listed non-financial companies by market capitalisation outside of the Nasdaq-100 Index
Broad,Global,Platinum International Fund (Quoted Managed Hedge Fund) MF,PIXX.AX,1.10%,N/A,Provide capital growth over the long-term by providing exposure to undervalued listed investments around the world
Broad,Global,Russell Investments Sustainable Global Opportunities Complex ETF,RGOS.AX,0.95%,MSCI ACWI – Net,Aims to outperform the benchmark over the long term by providing exposure to a diversified portfolio of predominantly international shares.
Broad,Global,Schroder Real Return Fund (Managed Fund),GROW.AX,0.90%,N/A,Active investment across a broad range of asset classes with the aim of returning CPI plus 5% excluding fees.
Broad,Global,SPDR® MSCI World Quality Mix Fund,QMIX.AX,0.40%,MSIC World Quality Mix,Covers large and mid-cap equities across 24 developed countries.
Broad,Global,VanEck MSCI International Small Companies Quality ETF,QSML.AX,0.59%,MSCI World ex Australia Small Cap Quality 150,Gives investors a diversified portfolio of 150 international developed market small-cap quality growth securities.
Broad,Global,VanEck MSCI International Value (AUD Hedged) ETF,HVLU.AX,0.43%,MSCI World ex Australia Enhanced Value Top 250 Select 100% Hedged to AUD Index,"A diversified portfolio of 250 international developed market large- and mid-cap companies, with high value scores as calculated by MSCI at each rebalance with returns hedged into Australian dollars."
Broad,Global,VanEck MSCI International Value ETF,VLUE.AX,0.40%,MSCI’s World ex Australia Enhanced Value Top 250 Select,"Gives investors a diversified portfolio of 250 international developed market large- and mid-cap companies, with high value scores as calculated by MSCI at each rebalance."
Broad,Global,Vaneck Vectors Morningstar World Ex Australia Wide Moat,GOAT.AX,0.55%,Morningstar® Developed Markets ex-Australia Wide Moat Focus,International 'wide moat' companies with sustainable competitive advantages for 20 years or more.
Broad,Global,Vanguard Diversified Balanced Index,VDBA.AX,0.27%,Balanced Composite Index,Targets a 50% allocation to income asset classes and a 50% allocation to growth asset classes.
Broad,Global,Vanguard Diversified Conservative,VDCO.AX,0.27%,Conservative Composite Index,Targets a 70% allocation to income asset classes and a 30% allocation to growth asset classes.
Broad,Global,Vanguard Diversified Growth,VDGR.AX,0.27%,Growth Composite Index,Targets a 30% allocation to income asset classes and a 70% allocation to growth asset classes.
Broad,Global,Vanguard Diversified High Growth,VDHG.AX,0.27%,High Growth Composite,Targets a 10% allocation to income asset classes and a 90% allocation to growth asset classes.
Broad,Global,Vanguard Ethically Conscious International Shares,VESG.AX,0.18%,"FTSE Developed ex-Aus, ex Non-renewable, Vice Products & Weapons","Diversified range of securities that excludes companies with significant business activities involving fossil fuels, alcohol, tobacco, gambling, military weapons, nuclear power and adult entertainment."
Broad,Global,Vanguard Global Minimum Volatility Active,VMIN.AX,0.28%,FTSE Global All Cap,Seeks volatility lower than the FTSE Global All Cap Index (AUD Hedged).
Broad,Global,Vanguard Global Value Equity Active,VVLU.AX,0.28%,N/A,Invests in global equity securities demonstrating value characteristics.
Broad,Global,Vaughan Nelson Global SMID Fund (Managed Fund),VNGS.AX,1.12%,MSCI ACWI SMID Cap Index,Aims to outperform the MSCI ACWI SMID Cap Index (after fees and expenses and before taxes) on a rolling five-year basis.
Broad,Global,WCM Quality Global Growth Fund (MF),WCMQ.AX,1.25%,MSCI All Country World Index ex-Australia,"Global companies found primarily in the high growth consumer, technology and healthcare sectors."
Sectors,Global,Artificial Intelligence ETF,GXAI.AX,0.57%,Indxx Artificial Intelligence & Big Data Index,Seeks to invest in companies that potentially stand to benefit from the further development and utilisation of artificial intelligence (AI) technology in their products and services.
Sectors,Global,BetaShares Asia Technology Tigers,ASIA.AX,0.67%,Solactive Asia Ex-Japan Technology & Internet Tigers,"Exposure to 50 of the most innovative and disruptive technology companies in Asia, including Alibaba and Baidu."
Sectors,Global,BetaShares Climate Change Innovation,ERTH.AX,0.65%,Solactive Climate Change and Environmental Opportunities,A portfolio of up to 100 global companies that derive at least 50% of revenue from products and services that address climate change through the reduction or avoidance of CO2 emissions.
Sectors,Global,BetaShares Cloud Computing,CLDD.AX,0.67%,Indxx Global Cloud Computing,Provides exposure to leading companies in the global cloud computing industry.
Sectors,Global,BetaShares Crypto Innovators ETF,CRYP.AX,0.67%,Bitwise Crypto Innovators Index,CRYP aims to track the performance of an index (before fees and expenses) that provides exposure to global companies at the forefront of the dynamic crypto economy.
Sectors,Global,BetaShares Digital Health and Telemedicine ETF,EDOC.AX,0.67%,n/a,Aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of leading global digital healthcare companies.
Sectors,Global,BetaShares Electric Vehicles and Future Mobility ETF,DRIV.AX,0.67%,Solactive Future Mobility Index,DRIV aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of global companies at the forefront of innovation in automotive technology.
Sectors,Global,BetaShares FTSE 100 ETF,F100.AX,0.45%,FTSE 100,Provides exposure to the largest 100 companies by market capitalisation traded on the London Stock Exchange.
Sectors,Global,BetaShares Future of Food ETF,IEAT.AX,0.67%,Foxberry Next Generation Foods Index,Aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of some of the world’s most innovative companies in the areas of global food production and supply.
Sectors,Global,BetaShares Future of Payments ETF,IPAY.AX,0.67%,Nasdaq CTA Global Digital Payments Index,IPAY aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of global companies at the forefront of innovation in digital and mobile payments.
Sectors,Global,BetaShares Global Cybersecurity,HACK.AX,0.67%,Nasdaq Consumer Technology Association Cybersecurity,Exposure to the leading companies in the global cybersecurity sector.
Sectors,Global,BetaShares Global Energy Companies - Currency Hedged,FUEL.AX,0.57%,Nasdaq Global ex-Australia Energy (Hedged AUD),"Provides exposure to the largest global Energy companies by market capitalisation (excluding Australia), hedged into Australian dollars."
Sectors,Global,BetaShares Global Healthcare ETF - Currency Hedged,DRUG.AX,0.47%,Nasdaq Global ex-Australia Healthcare (Hedged AUD),Exposure to the largest global healthcare companies by market capitalisation (ex-Australian).
Sectors,Global,BetaShares Global Robotics and Artificial Intelligence,RBTZ.AX,0.57%,Indxx Global Robotics & Artificial Intelligence Thematic,Exposure to the leading companies expected to benefit from the increased adoption and utilisation of Robotics and A.I.
Sectors,Global,BetaShares Global Royalties ETF,ROYL.AX,0.69%,Solactive Global Royalties Index,"ROYL aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of global companies that earn a substantial portion of their revenue from royalty income, royalty-related income and intellectual property (IP) income."
Sectors,Global,BetaShares Global Sustainability Leaders,ETHI.AX,0.59%,Nasdaq Future Global Sustainability Leaders,Provides exposure to 100 large global stocks (ex-Australia) which are climate change leaders.
Sectors,Global,Betashares Global Sustainability Leaders,HETH.AX,0.62%,NASDAQ Future Global Sustainability Leaders Currency Hedged AUD,Portfolio of large global stocks identified as “Climate Leaders”.
Sectors,Global,BetaShares Global Banks ETF - Currency Hedged,BNKS.AX,0.57%,NASDAQ Global ex-Australia Banks Hedged AUD,"A portfolio of the world’s largest banks outside of Australia, including J.P. Morgan, Wells Fargo and HSBC"
Sectors,Global,BetaShares Metaverse ETF,MTAV.AX,0.69%,Bloomberg Metaverse Select Index,"Aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of leading global companies involved in building, developing and operating the Metaverse. The Metaverse has been described as the next iteration of the internet that seamlessly combines our digital and physical lives."
Sectors,Global,BetaShares Online Retail and E-Commerce ETF,IBUY.AX,0.67%,Solactive Global Online Retail and E-Commerce Index,IBUY aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of the world’s leading online retailers.
Sectors,Global,BetaShares Solar ETF,TANN.AX,0.69%,Solactive EQM Global Solar Energy Index,Aims to track the performance of an index (before fees and expenses) that provides exposure to a portfolio of leading global companies in the solar energy industry.
Sectors,Global,BetaShares Video Games and Esports ETF,GAME.AX,0.57%,Nasdaq CTA Global Video Games & Esports Index,Aims to track the performance of an index that provides exposure to a portfolio of leading global video gaming and esports companies.
Sectors,Global,ETFs Fang+,FANG.AX,0.35%,NYSE®FANG+™,High growth technology or advanced technology driven sectors such as in the consumer discretionary on the major US stock exchanges.
Sectors,Global,ETFS Hydrogen ETF,HGEN.AX,0.69%,Solactive Global Hydrogen ESG Index,"Invests in the hydrogen economy, by owning a concentrated portfolio of hydrogen companies with a focus on pure-plays."
Sectors,Global,ETFS Morningstar Global Technology,TECH.AX,0.45%,Solactive Global Core Infrastructure Low Volatility,Exposure to global infrastructure companies.
Sectors,Global,ETFS Semiconductor ETF,SEMI.AX,0.57%,Solactive Global Semiconductor 30 Index,"Contains 30 companies in developed markets, Taiwan and Korea from across the semiconductor value chain. These include: foundries, which make microchips; fabless, which are companies that design microchips; equipment makers, which create the machines used to build microchips; and integrated device manufacturers, which both make and design microchips."
Sectors,Global,ETFS S&P Biotech,CURE.AX,0.45%,S&P Biotechnology Select Industry Index,Exposure to the US biotechnology sub-industry within the health care sector.
Sectors,Global,Global X Copper Miners ETF,WIRE.AX,0.65%,Solactive Global Copper Miners Total Return Index,"WIRE provides access to a global basket of copper miners which stand to benefit from being a key part of the value chain facilitating growth in major areas of innovation such as technology, infrastructure and clean energy."
Sectors,Global,Global X Cybersecurity ETF,BUGG.AX,0.47%,Indxx Cybersecurity Index,"The Global X Cybersecurity ETF, often referred to as BUGG, seeks to invest in companies that stand to benefit from the increased adoption of cybersecurity technology, particularly those whose principal business is in the development and management of security protocols preventing intrusion and attacks on systems, networks, applications, computers, and mobile devices."
Sectors,Global,Global X Global Carbon ETF (Synthetic),GCO2.AX,0.45%,ICE Global Carbon Futures Index (AUD Total Return),"GCO2 offers access to the world’s largest carbon markets covering the European Union Emissions Trading Scheme, Regional Greenhouse Gas Initiative, Western Climate Initiative (California cap and trade program) and the UK Emissions Trading Scheme."
Sectors,Global,Global X Green Metal Miners ETF,GMTL.AX,0.69%,BITA Global Green Energy Metals Index,"Global X Green Metal Miners ETF (GMTL) provides exposure to global companies which produce critical metals for clean energy infrastructure and technologies, including lithium, copper, nickel and cobalt."
Sectors,Global,Global X Uranium ETF,ATOM.AX,0.69%,Solactive Global Uranium & Nuclear Components Total Return Index,"ATOM offers investors access to a broad range of companies involved in uranium mining and the production of nuclear components, including those in extraction, refining, exploration, or manufacturing of equipment for the uranium and nuclear industries."
Sectors,Global,Hejaz High Innovation Active ETF,HHIF.AX,1.55%,MSCI ACWI IMI Innovation (hedged to AUD),"To achieve a return at least equal to movements in the Benchmark over a rolling 5 to 7-year timeframe through exposure to a diversified equities portfolio of Shariah Compliant listed companies poised to outperform the broader market over the mid- to long-term. Targets innovative leaders in sectors such as technology, biotech and renewable energy."
Sectors,Global,Hejaz Property Fund (Managed Fund),HZJP.AX,1.50%,MSCI World REITs Index,To achieve a total return at least equal to movements in the MSCI World REITs Index over a rolling 5-7 year timeframe through exposure to a diversified portfolio of Sharia Compliant REIT investments.
Sectors,Global,iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,GLIN.AX,0.20%,FTSE Developed Core Infrastructure 50/50 100% Hedged to AUD Net Tax Index,"The Fund aims to provide investors with the performance of the FTSE Developed Core Infrastructure 50/50 100% Hedged to AUD Net Tax Index, before fees and expenses (including the cost of hedging). The index is designed to measure the AUD hedged performance of global developed market infrastructure securities."
Sectors,Global,iShares FTSE Global Property Ex Australia (AUD Hedged) ETF,GLPR.AX,0.20%,FTSE EPRA Nareit Developed ex-Australia Rental AUD Hedged Net Tax Index,"The Fund aims to provide investors with the performance of the FTSE EPRA Nareit Developed ex-Australia Rental AUD Hedged Net Tax Index, before fees and expenses (including the cost of hedging). The index is designed to measure the AUD hedged performance of global developed market real estate securities."
Sectors,Global,iShares Future Tech Innovators ETF,ITEK.AX,0.55%,n/a,"Aims to provide investors with the performance of the equally weighted return of the various indices of the Underlying Funds in which the Fund invests, before fees and expenses. The Underlying Funds are ETFs that invest in disruptive, technology themed companies driving innovation and providing solutions to global challenges."
Sectors,Global,iShares Global Consumer Staples,IXI.AX,0.46%,S&P Global Consumer Staples,Composed of global equities in the Consumer Staples sector.
Sectors,Global,iShares Global Healthcare,IXJ.AX,0.46%,S&P Global Healthcare,Composed of global equities in the Healthcare sector.
Sectors,Global,JPMorgan Sustainable Infrastructure Active ETF (Managed Fund),JPSI.AX,0.55%,MSCI All Country World Index (Total Return Net) - AUD,Aims to achieve a return through investing at least 80% of the Fund’s assets in equity securities of companies with exposure to the theme of sustainable infrastructure.
Sectors,Global,Magellan Infrastructure Fund (Managed Fund),MICH.AX,1.05%,S&P Global Infrastructure Index A$ Hedged Net Total Return,"Portfolio of 20 to 40 stocks that seeks to deliver the stable returns offered by the asset class, while protecting returns from currency movements."
Sectors,Global,Munro Climate Change Leaders Fund,MCCL.AX,0.90%,N/A,Seeks to create a portfolio of climate winners that help enable the decarbonisation of the planet.
Sectors,Global,Net Zero Transition Resources Fund Active ETF,JZRO.AX,0.85%,n/a,Global equities portfolio comprised of resources companies across the supply chain positioned for the transition to a low-carbon future.
Sectors,Global,Platinum Global Transition Fund (Quoted Managed Hedge Fund),PGTX.AX,"1.025%, plus a 15% performance fee of the amount by which the Fund’s return exceeds a return of 6% p.a.",n/a,PGTX aims to provide capital growth over the long term by investing in undervalued companies from around the world that are seeking to financially benefit from the transition away from fossil fuel-derived energy and goods production and consumption i.e. the carbon transition.
Sectors,Global,Resolution Capital Global Property Securities Fund (Managed Fund),RCAP.AX,0.80%,FTSE EPRA/NAREIT Developed Index (AUD Hedged) Net TRI,The Resolution Capital Global Property Securities Fund (Managed Fund) (the ‘Fund’) gives investors exposure to the underlying returns of some of the world’s highest quality real estate assets through a select portfolio of global real estate investment trusts (‘REITs’) and property companies.
